Tournament_ID,Date,Season,Name,Format,Source_File,Status
2026-1115,2025-11-15,2026,SG@SG(Nov 15),Best Ball,SG@SG(Nov_15)_November_15_2025.csv,completed
2026-1220,2025-12-20,2026,SG@SG(Dec 20),Team Quota,SG@SG(Dec_20)_December_20_2025.csv,completed
2026-0117,2026-01-17,2026,SG@SG(Jan 17),Best Ball/Stableford,SG@SG(Jan_17)_January_17_2026.csv,completed
2026-0221,2026-02-21,2026,SG@SG(Feb 21),Best Ball/Stableford,SG@SG(Feb_21)_February_21_2026.csv,completed
2026-0321,2026-03-21,2026,SG@SG(Mar 21),Best Ball/Stableford,SG@SG(Mar_21)_March_21_2026.csv,completed
