Hole,Par,HI,Yardage
H1,4,5,391
H2,4,15,321
H3,3,13,155
H4,5,7,554
H5,4,1,434
H6,4,17,287
H7,3,9,189
H8,4,3,424
H9,5,11,516
H10,4,12,348
H11,5,14,505
H12,4,2,447
H13,3,16,135
H14,4,10,351
H15,4,6,383
H16,4,18,298
H17,3,8,214
H18,5,4,533
